"Feature" "Gain" "Cover" "Frequency"
"288" "HOUR_APPR_PROCESS_START_15" 517.909261703491 2162973 59
"289" "NAME_PAYMENT_TYPE_Cash_through_the_bank" 517.061720371246 2585152 63
"290" "HOUR_APPR_PROCESS_START_8" 507.252057313919 4159856 49
"291" "LIVE_CITY_NOT_WORK_CITY" 489.770391225815 5631789 62
"292" "INSTALMENTS_LESS_MAX" 488.360772609711 7328558 57
"293" "NAME_PORTFOLIO_Cash" 484.860904216766 1357439 50
"294" "NAME_GOODS_CATEGORY_2" 479.672053575516 2042474 59
"295" "Nr_Card_MONTH_MEAN" 476.653925776482 9523581 62
"296" "ORGANIZATION_TYPE.Construction" 474.157905697823 13715129 58
"297" "AMT_DRAWINGS_POS_CURRENT_MEAN" 472.706997156143 10964687 72
"298" "NA_AMT_CREDIT_MAX_OVERDUE" 470.231035709381 546789 45
"299" "SELLERPLACE_AREA_33" 469.100925683975 3749382 65
"300" "HOUR_APPR_PROCESS_START_13" 468.947241306305 7241269 68
"301" "ENTRANCES_MEDI" 468.414314031601 6302067 51
"302" "NAME_GOODS_CATEGORY_9" 467.146881103516 1634931 51
"303" "CODE_REJECT_REASON_LIMIT" 467.078728199005 2130203 36
"304" "Add_CARD_DRAWINGS_ATM_per_CNT_MEAN" 464.833432435989 6023850 55
"305" "NAME_PRODUCT_TYPE_x.sell" 461.243071079254 9383898 67
"306" "ENTRANCES_MODE" 457.902019023895 1543325 41
"307" "NAME_CONTRACT_STATUS_POSCASH_Completed" 450.608158588409 1276889 47
"308" "NAME_PRODUCT_TYPE_miss" 440.976551055908 1141785 51
"309" "Add_DIFF_PAYMENT_RECEIVABLE_CARD_MEAN" 437.550017356873 1765755 29
"310" "NONLIVINGAPARTMENTS_AVG" 435.252495288849 2877976 45
"311" "OCCUPATION_TYPE.Core.staff" 433.065274238586 4786688 25
"312" "NAME_TYPE_SUITE_Family" 432.360391616821 888623 51
"313" "DAYS_FIRST_DRAWING_MEAN" 432.184935808182 4100926 39
"314" "NUM_INSTALMENT_VERSION_15" 426.614209651947 5094456 31
"315" "HOUR_APPR_PROCESS_START_11" 425.802052497864 2297383 50
"316" "NAME_GOODS_CATEGORY_4" 423.413925647736 616513 42
"317" "LIVINGAPARTMENTS_MEDI" 420.727100133896 4806518 51
"318" "CNT_INSTALMENT_MATURE_CUM_MEAN" 420.114735603333 5083012 48
"319" "HOUR_APPR_PROCESS_START_17" 417.264427542686 8449389 62
"320" "NAME_GOODS_CATEGORY_1" 415.419603347778 1922237 44
"321" "FLAG_DOCUMENT_18" 413.695053696632 18277335 67
"322" "SK_DPD_MAX_POS" 411.880371451378 5728541 56
"323" "HOUR_APPR_PROCESS_START_14" 410.204176902771 1678942 46
"324" "NAME_PORTFOLIO_POS" 402.774875879288 1227357 40
