Feature,Gain,Cover,Frequency,run
WEEKDAY_APPR_PROCESS_START_FRIDAY,52.4301686286926,8161,9,1
NAME_CASH_LOAN_PURPOSE_14,52.1216344833374,245763,11,1
CHANNEL_TYPE_AP._.Cash_loan.,51.6791944503784,107431,8,1
NUM_INSTALMENT_VERSION_13,51.1164894104004,1100239,13,1
NAME_CONTRACT_TYPE_Consumer_loans,50.9059479236603,89374,11,1
NA_NONLIVINGAREA,50.4018654823303,325,7,1
NAME_TYPE_SUITE_miss,50.000816822052,247385,9,1
Car_loan_Nr,49.4121615886688,918986,12,1
FLAG_PHONE,49.2871313095093,4301,6,1
CHANNEL_TYPE_Regional_._Local,49.1114325523377,39379,9,1
HOUR_APPR_PROCESS_START_12,48.8671820163727,20961,9,1
NA_EXT_SOURCE_1,48.50226521492,809,11,1
Add_RATIO_OVERDUE_CREDIT_BUREAU_MEAN,48.3304831981659,176801,10,1
CNT_CHILDREN,46.4675815105438,11299,10,1
Nr_POS_CASH,46.0646967887878,953,8,1
NFLAG_INSURED_ON_APPROVAL_0,46.0519263744354,3047,8,1
SELLERPLACE_AREA_61,45.5026836395264,89782,10,1
AMT_CREDIT_SUM_LIMIT_MAX,45.4511437416077,348196,8,1
NAME_CONTRACT_TYPE_Cash_loans,45.4047853946686,84260,8,1
CNT_PAYMENT_MIN,44.9996848106384,165087,9,1
AMT_GOODS_PRICE_MAX,43.6866931915283,843912,9,1
OBS_60_CNT_SOCIAL_CIRCLE,43.426199555397,142369,10,1
NAME_PORTFOLIO_Cards,43.0695180892944,960518,9,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,42.7901089191437,4079,7,1
FLOORSMIN_MODE,42.4575068950653,66565,9,1
NAME_TYPE_SUITE_Spouse._partner,42.4306271076202,2697,6,1
SELLERPLACE_AREA_62,42.0205566883087,910149,9,1
FLAG_OWN_REALTY,41.4715094566345,306618,9,1
SELLERPLACE_AREA_49,41.3531513214111,153277,10,1
AMT_RECIVABLE_MEAN,40.9586067199707,189080,9,1
PRODUCT_COMBINATION_POS_household_without_interest,40.4312582015991,522864,9,1
NAME_CASH_LOAN_PURPOSE_13,40.3319480419159,37646,6,1
SELLERPLACE_AREA_24,39.9610600471497,25442,7,1
DAYS_FIRST_DRAWING_MIN,39.3854248523712,533343,9,1
HOUR_APPR_PROCESS_START_16,39.2313461303711,100469,7,1
FLOORSMAX_AVG,39.1929504871368,29139,9,1
