Feature,Gain,Cover,Frequency
Add_DIFF_CREDIT_RECEIVED_ASKED_PREV_MAX,16.1632328033447,204,1
BUREAU_STATUS_C_MEAN,16.114128112793,790,1
AMT_CREDIT_LIMIT_ACTUAL_SUM,16.1086311340332,449,1
NA_OWN_CAR_AGE,15.9950323104858,170,1
Add_RATIO_LIMIT_CREDIT_BUREAU_MEAN,15.9813957214355,823,1
HOUR_APPR_PROCESS_START_16,15.9467134475708,454,1
NUM_INSTALMENT_VERSION_15,15.9239559173584,6993,1
PRODUCT_COMBINATION_Card_Street,15.773928642273,613,1
DAYS_CREDIT_ENDDATE_MIN,15.7476005554199,100,1
PRODUCT_COMBINATION_POS_household_without_interest,15.7451486587524,499,1
CHANNEL_TYPE_AP._.Cash_loan.,15.6458549499512,2751,1
LIVINGAREA_AVG,15.511812210083,399,1
Add_DIFF_MEAN_PAYMENT_RECEIVABLE_CARD,15.3921508789063,4413,1
NAME_YIELD_GROUP_low_action,15.0913524627686,6619,1
NAME_SELLER_INDUSTRY_Consumer_electronics,14.9771327972412,152,1
Add_INCOME_per_ADULT,14.7188158035278,440,1
